timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
89404195961,1,15,-2,-7,-3,-6,-2,-2
89404195961,0,4,7,-7,-2,-1,-3,-4
89404204174,0,3,-3,3,-1,-1,0,-2
89404204174,1,2,-5,-6,-2,3,2,-2
89404219165,-3,3,-1,-9,-9,-5,0,0
89404219165,-4,-50,10,13,5,2,-2,-2
89404219781,1,-35,-35,-9,3,3,1,-3
89404219781,0,15,4,-1,5,2,4,-1
89404233406,1,28,8,22,9,2,0,0
89404233406,-1,55,3,-7,-4,-3,0,0
89404241586,-1,38,10,-3,-11,-7,-3,-3
89404241586,-1,-6,-12,-8,-11,-2,0,-3
89404255809,0,-12,9,-14,-3,1,3,0
89404255809,-1,-19,-8,-5,-2,-4,-1,-2
89404263980,1,-13,3,8,7,5,-3,0
89404263980,0,-17,-12,4,0,-2,0,-1
89404278969,2,-27,24,8,8,3,-2,-1
89404278969,0,-115,-36,-10,-17,-13,1,-4
89404279726,-1,-39,7,1,-4,2,-4,0
89404279726,-5,26,5,10,-3,-3,-2,-4
89404293307,-1,56,5,5,16,3,4,1
89404293307,-1,81,9,-16,-6,-4,-3,-4
89404301563,-2,56,-27,-4,-13,-8,1,-1
89404301563,1,6,20,8,3,3,-1,-1
89404315858,-4,-12,-41,-14,-6,-4,-1,-4
89404315858,2,5,11,5,10,10,-1,8
89404324149,-2,-6,17,-5,-1,-1,1,0
89404324149,0,-4,13,5,-3,-2,1,-1
89404339166,0,-29,-23,-13,-6,-3,-4,-3
89404339166,0,9,31,28,6,4,-5,1
89404339754,2,-9,-57,-9,1,-3,-1,1
89404339754,1,-6,24,5,2,9,0,3
89404353534,4,-4,-2,6,13,1,-1,0
89404353534,-8,-7,-29,-22,-17,-12,-1,-11
89404361541,2,12,11,5,7,4,-2,4
89404361541,-3,1,23,8,10,7,-1,0
89404376060,-6,-20,-15,-19,-25,-15,-2,-4
89404376060,5,12,32,16,13,9,0,4
89404383968,-4,0,7,-8,-8,-8,-4,-5
89404383968,-1,-6,1,-4,0,0,2,2
89404399142,-1,-6,6,-3,3,7,0,2
89404399142,1,9,-1,10,5,1,0,2
89404399835,-4,-11,-33,-11,-14,-9,-4,-2
89404399835,5,13,82,39,26,19,4,7
89404413350,-5,-14,-64,-21,-22,-7,-4,-6
89404413350,6,8,2,-8,16,8,-1,3
89404421707,-6,-3,-1,27,7,-1,-1,-7
89404421707,3,13,51,33,0,0,-4,1
89404435813,1,2,-58,-27,-5,-7,1,-2
89404435813,-8,-27,-93,-40,-32,-27,1,-11
89404444061,8,14,55,23,19,23,1,9
89404444061,0,1,-34,-2,5,-2,0,-2
89404459159,4,9,31,8,13,13,0,5
89404459159,-5,26,16,13,-4,-7,-5,-4
89404459841,2,-13,54,6,-3,-6,4,1
89404459841,-4,-50,-44,-31,-8,-12,-3,-10
89404473510,-5,-36,56,9,-7,6,-5,-2
89404473510,9,28,101,65,36,23,5,14
89404481707,-13,6,-80,-80,-53,-44,-2,-15
89404481707,1,9,-37,-35,-2,2,-2,7
89404495996,4,15,89,87,80,38,3,5
89404495996,-8,21,-2,-36,-45,-15,-4,-2
89404504826,4,56,57,19,31,14,1,1
89404504826,-4,16,7,2,-4,-6,-1,-2
89404518484,-8,-18,-77,22,-24,-26,-1,-10
89404518484,1,-33,1,-34,-15,-5,2,-4
89404527356,9,-6,55,-19,25,23,2,7
89404527356,0,-1,-33,46,-9,-3,-2,0
89404533526,-3,-21,-44,-51,-26,-22,-4,-1
89404533526,-4,-45,11,20,31,30,1,2
89404542415,-9,-66,-101,-50,-35,-35,1,-11
