timestamp,x,y,z
336732173360,-11.0625,1.125,-9.75
336732189111,19.9375,-2.5,-1.25
336732212250,20.6875,-2.25,5.875
336732240876,-3.5625,-4.875,7.5625
336732249118,2.5,-6.5,6.125
336732272329,6.875,-6.3125,3.5
336732293362,3.5,-5.5,-1.5
336732309105,-2.125,-1.25,-5.375
336732332313,-2.8125,3.75,-2.3125
336732353972,-11.3125,8.5,-0.625
336732368380,0.9375,11.0625,0.375
336732382751,-10.125,9.125,0.0625
336732405206,-4.5625,0.5625,1.4375
336732428353,2.75,-7.6875,3.25
336732442688,-1.0625,-11.875,7.1875
336732465168,4.4375,-12.375,10.1875
336732488352,9.5,-6.875,10.875
336732502702,3.625,-2.3125,5.875
336732525161,-2.1875,1.875,1.8125
336732556512,-8.375,1.3125,-1.25
336732562703,-5.5,2.25,-8.75
336732585199,-5.125,0.6875,-9.5625
336732608300,-5,-0.25,-8.25
336732622732,-5.4375,-1.5,-5.9375
336732645310,0.125,0.4375,-1.1875
336732668437,7.375,1.125,1.4375
336732682741,1.6875,-2.4375,1.8125
336732705261,-0.25,-5.6875,0.875
336732728409,0.125,-9.625,4.4375
336732742766,0.75,-11.9375,9.375
336732765213,5.1875,-10.5625,12.8125
336732788336,4.25,-9.9375,14.4375
336732802718,3,-5.25,11.5625
336732825208,-0.0625,1.3125,10.125
336732856518,-0.5625,10,7.5
336732862692,-4.5625,11.8125,10
336732885131,-6.125,7.5625,4.5625
336732908356,-7.625,2.6875,-5.8125
336732922650,-8.25,-3.375,-2
336732945169,-2.75,-7.75,10.3125
336732968355,-8.625,-8.75,17.375
336732982744,0.375,-6.5,20
336733005222,5.75,-7.0625,20.5625
336733028404,0.0625,-8.1875,24.6875
336733042760,-0.125,-9.6875,30.125
336733065273,-5.125,-13.3125,35.125
336733088436,-4.5,-15.6875,36.1875
336733102756,-3.6875,-12.75,32.9375
336733125299,-0.3125,-6.875,27.75
336733148449,-0.75,-1.4375,24.0625
336733162793,-0.625,-2.125,22.6875
336733185235,-0.3125,-3.625,20.625
336733208444,-1.0625,-4.9375,16.875
336733222700,-2.5,-5.6875,11.5625
336733245218,-1.125,-6.375,7.875
336733268358,0.8125,-4.375,3.8125
336733282740,-0.8125,-0.625,0.0625
336733305196,-1.625,-0.25,-4.125
336733328461,-5.5,-1.125,-6.8125
336733342749,-3.9375,-2.75,-7.5625
336733365260,-2.1875,-4.375,-6.625
336733388434,-1.375,-4.1875,-4.75
336733402697,1.5,-4.4375,-1.8125
336733425317,3.25,-4.8125,-0.0625
336733440213,1.125,-4.5625,1.5
336733462753,1.9375,-3.5,2.3125
336733485262,4.375,-3.125,1.875
336733501628,0.375,-3.125,-0.4375
336733522793,-0.6875,-0.6875,-2.6875
336733545242,0.3125,2.6875,-3.875
336733561663,-3.9375,5.25,-4.25
336733582780,-5.9375,15.6875,-10.9375
336733605221,1,30.125,-22.8125
336733628410,10.875,45.25,-35.3125
336733642791,30.1875,65.375,-44.4375
336733665208,59.75,82.9375,-69.5
336733687799,54.4375,99.1875,-94.25
336733702714,53.0625,120.5,-116.188
336733725287,69.125,146.875,-138
336733747777,79.3125,162.562,-168.938
336733762820,38.625,161.75,-190.812
336733785278,-2.875,163.438,-196.875
336733807761,-5,186,-197.688
336733822695,0.6875,205.438,-196.438
336733845314,-24.375,215.812,-181.625
336733867831,-64.6875,213.562,-152.75
336733882780,-76.5,209,-112.812
336733905262,-54,203,-70.3125
336733927904,-24.5,189.312,-31.5
336733942727,-2.5,152.625,4.9375
336733965264,21.625,93.3125,58.3125
336733987813,44.4375,36.75,111.188
336734002758,59,-14.8125,152.875
336734025269,61.8125,-53.8125,185.375
336734047795,62.625,-95.25,206.812
336734062755,60.25,-126.75,218.312
336734085318,51.625,-149.562,216.125
336734107827,36.9375,-155,190.438
336734122750,23.875,-155.625,149.375
336734145291,12.75,-153.938,110
336734167853,4.3125,-152.5,69.0625
336734182928,-1.5625,-129.062,19.125
336734205210,-20.875,-92.1875,-37.5
336734227758,-63.375,-61.6875,-86.4375
336734242804,-81.625,-40.5,-133.938
336734265275,-93.1875,-10.875,-181.875
336734287779,-115.75,5.4375,-220
336734302737,-143,-2.1875,-243.375
336734325364,-161.438,-11.625,-250.438
336734347826,-171.25,-15.1875,-234.875
336734362858,-143.812,-34.9375,-171.438
336734385254,-126.312,-70,-93.6875
336734407796,-101.875,-96.625,-37.375
336734424207,-43.4375,-130.125,-14.75
336734445323,6.0625,-182.562,-4.6875
336734467814,28.125,-234.188,46.9375
336734484239,95.0625,-253.75,85.6875
336734505248,189.562,-222.312,115.875
336734527778,158,-169.938,132.938
336734544271,97.9375,-103.688,104.938
336734565314,56.875,-7.375,47.4375
336734587832,9.8125,97.875,-30.375
336734604207,-56.625,190.188,-104.688
336734625344,-117.312,255.812,-152.875
336734647795,-166.75,299.5,-160.625
336734664207,-206.438,310.625,-136.438
336734685282,-211.688,302.25,-92.0625
336734707853,-169.562,265.062,-36.3125
336734724266,-85.6875,190.625,32.375
336734745316,21.5625,104.438,91.0625
336734767827,121.25,37,136.188
336734784263,179.375,-11.3125,175.062
336734805315,198.375,-48.1875,210.062
336734835964,178.875,-81.6875,236.562
336734850303,154.625,-115.375,257.5
336734865341,125.188,-153.375,264.625
336734887841,89.6875,-159.75,241.688
336734905742,71.4375,-120.688,176.812
336734925333,60.125,-62,83.5
336734947823,52.625,25.8125,7.625
336734964258,152.812,101.062,-28.9375
336734985338,61,118.125,-69.5625
336735007854,-172.5,126.188,-131.5
336735024279,-176.625,147.562,-206.625
336735045360,-138.25,146.125,-260.438
336735067809,-144.562,121.75,-284.188
336735084238,-162.812,88.3125,-272
336735105260,-174.75,49.3125,-235.688
336735127802,-167,10.4375,-168.5
336735144273,-120.5,-60.75,-84.9375
336735165331,-39.625,-120.5,-19.4375
336735187819,16,-195.562,13.5625
336735204260,76.75,-253.875,72.6875
336735225331,147.812,-292.562,135.375
336735241782,187.062,-297.375,187.062
336735271729,170.938,-281.625,209.438
336735285332,134.688,-238.938,186.688
336735301708,113.375,-136.625,107.062
336735324294,171,-18,42.875
336735345330,320.188,20,16.1875
336735361778,21.9375,16.1875,-17.5625
336735384266,-179.25,59.8125,-103.625
336735406714,-194.812,118.562,-184.625
336735429225,-157.188,141.5,-226.25
336735444236,-160.75,130.25,-223.938
336735468227,-199.688,124.812,-167.312
336735488511,-198.688,104.812,-80.875
336735504854,-144.188,28,-24.5625
336735526623,-98.9375,-36.9375,14.375
336735549926,-50,-102.5,-21.0625
336735563536,79.0625,-183.812,-8.9375
336735585768,125.062,-239.125,46.25
336735608525,150,-245.875,80.4375
336735623507,166,-213.312,92.875
336735646027,100.125,-172.938,90.5
336735668529,77.8125,-147.875,68.5625
336735683540,77.1875,-99.0625,42.75
336735706020,20.375,-61,5.5
336735728561,-39.0625,-32.375,-29.9375
336735743539,-83.875,-13,-51.375
336735765999,-125.75,-0.0625,-57.5
336735788514,-140.75,19.8125,-50.1875
336735803491,-125.5,51.1875,-40.9375
336735833510,-104.438,70.5,-31.375
336735848512,-70.8125,59,-25.75
336735863546,-118.562,32.4375,0
336735887557,-34.375,39,19.375
336735908513,90.8125,74,47.3125
336735923533,112.5,113.25,58.6875
336735946022,38.8125,139.188,76.5625
336735968511,-16.0625,147.938,96
336735983460,14.5625,152.25,102.375
336736005971,50.5625,157.5,94.0625
336736028510,63.75,150.562,83.6875
336736043326,70.625,137.312,84.8125
336736065984,74.875,118.625,82.0625
336736088460,73.3125,100.625,71
336736103544,74.1875,89.9375,54.5
336736133601,82.4375,87.5625,23.625
336736149957,78.3125,111.5,-47.5
336736163617,67.0625,139.688,-112.188
336736186049,52.1875,121.125,-147.25
336736201760,-6.4375,85.125,-145.938
336736225036,-90.3125,62.6875,-137.812
336736246032,-122.75,59.3125,-129
336736261849,-104.625,54.8125,-110.625
336736283596,-75.1875,39.0625,-85.75
336736306108,-39.75,5.4375,-53.6875
336736321783,-14.0625,-49.375,-35.5625
336736343534,15.5,-112.625,-12
336736366009,67.25,-152.188,32.9375
336736381790,94.0625,-176.312,85.6875
336736403538,127.625,-184.625,120.5
336736426071,103.375,-181.812,138.875
336736441782,67.6875,-168.125,131.375
336736464946,85.875,-140.75,102.875
336736486064,88.9375,-102.625,61.4375
336736501811,95.125,-52.4375,10.5625
336736539181,59,-23.5625,-14.0625
336736546049,-39.25,-13.625,-41.9375
336736561771,-94.6875,4.125,-76.125
336736584966,-105.812,21.25,-109.812
336736606061,-102,27.4375,-133.25
336736621836,-107.938,24.625,-141.75
336736644938,-100.562,14.0625,-129.188
336736666028,-75.375,-11.6875,-103.5
336736681856,-54.5625,-44.375,-73.9375
336736705032,-36.4375,-72.5625,-48.5625
336736726077,-3,-98.875,-28.375
336736741827,26.375,-123.375,-2
336736764985,44.25,-149.312,27.4375
336736786072,52.125,-168.438,57.75
336736801853,61.125,-171.875,74.75
336736831039,67,-162.375,82.375
336736846075,62.5,-156.75,83.875
336736861824,47.1875,-149.812,80.3125
336736884998,10.125,-122.375,64.0625
336736906075,-19.0625,-95.125,43.8125
336736921829,-27.6875,-57.75,23.4375
336736945025,-7.1875,-10.75,-5.875
336736967502,-35.9375,11.375,-34
336736981898,-116.688,8.5,-45.6875
336737005005,-128.375,22.625,-23.5
336737026131,-36.0625,35.5625,-17.625
336737041834,38.9375,59.5,-18.875
336737064992,62.8125,89.875,-16.25
336737087578,56.9375,114.688,-12.375
336737108609,58.1875,138,-8.0625
336737124987,52.5625,156.875,-8.5
336737146080,29.8125,177.438,-16.3125
336737161804,10.5,209.625,-27.125
336737184955,6.1875,233.562,-27.875
336737206127,-4.375,248,-21.5
336737221867,-24.5,258.375,-13.625
336737244327,-36.1875,259.75,1.125
336737266096,-35,245.25,26.625
336737281898,-16.875,221.5,58.25
336737304338,-0.75,191.688,84.3125
336737326076,15.25,165.875,100.375
336737341848,45.375,136.125,120.812
336737364340,78.4375,103.062,141.688
336737386092,93.8125,70.5625,155.312
336737401864,100.562,41.25,166.125
336737424329,104.625,12.8125,178.875
336737447598,109.812,-17.9375,192.812
336737461860,110.188,-46.625,203.312
336737484356,111.312,-71.1875,214.812
336737515044,111.625,-90,221.438
336737521855,112.938,-116.188,228.438
336737552562,100.438,-130.312,234.75
336737567582,88,-134.938,246.938
336737588617,76.6875,-140.688,258.688
336737604372,65.8125,-143.25,268.688
336737627563,43.3125,-152,279
336737648613,42.125,-141.125,292.125
336737664326,49.8125,-118.062,281.75
336737687596,25.5,-84.1875,247.062
336737708639,-7.75,-67.4375,232.25
336737724396,-0.125,-47.75,224
336737747555,28.0625,-38,214.125
336737776091,6.3125,-34.75,195.75
336737784407,-33,-9.8125,143.188
336737807530,-22.0625,12.9375,82.5625
336737828553,-2.1875,15.75,30.6875
336737844381,-10,9.25,-17.625
336737867558,-21.6875,0.4375,-63.25
336737888659,-20.8125,-7.375,-99
336737904399,-26.6875,-18.75,-126.375
336737927549,-21.6875,-20.4375,-150.812
336737948552,-21.25,-13.8125,-180.062
336737964412,-35.5,1.625,-216
336737987610,-46.5625,12.5,-240.312
336738010075,-49.0625,15.5,-243.938
336738024329,-54,15.875,-242.938
336738047556,-71.8125,21.25,-242.375
336738068624,-87.125,25.1875,-248
336738084388,-102.125,25,-251.188
336738107602,-112.812,18.3125,-247.125
336738128531,-124.625,8.3125,-238.688
336738144347,-139.875,0.75,-230.688
336738167508,-148,-10.375,-216.75
336738188588,-155.562,-26.4375,-198.062
336738204333,-157.875,-41.875,-186.438
336738226827,-159.688,-57.125,-174.625
336738248559,-155.688,-71.0625,-155.5
336738264332,-130.375,-86.8125,-140.562
336738286830,-87.25,-102.875,-137.875
336738308585,-65.6875,-125.312,-146.375
336738324331,-74.875,-148.438,-151.5
336738346864,-83.9375,-158.688,-150
336738368611,-76.5,-150.25,-139.375
336738384333,-48.6875,-147.438,-132.25
336738406803,-35.25,-145.25,-124.125
336738430020,-31.3125,-134.938,-109
336738444356,-39,-114.688,-99.125
336738466857,-47.875,-97.75,-83.875
336738498953,-48.625,-86.625,-66
336738504537,-49.8125,-72.8125,-49.5625
336738526832,-44.875,-57.1875,-34
336738550025,-27.3125,-43.1875,-16.5625
336738571153,-9.4375,-27.8125,1.3125
336738586185,7.0625,-14.75,15
336738600403,13.875,-3.875,28.5625
336738622997,14.4375,9.1875,41.5625
336738646148,13.4375,22.125,53.5625
336738660431,10.5,35.125,65.75
336738682925,15.8125,47.3125,76.9375
336738706123,21.375,61.0625,86.75
336738720462,24.1875,73.625,95.6875
336738742919,25,84.9375,105.188
336738766063,27.9375,94.3125,116.875
336738780412,36.1875,101.062,126.25
336738802934,46.3125,107.25,133.938
336738826104,57,108.688,140.812
336738840437,70.3125,104.75,145.75
336738862915,83.1875,97.8125,150.562
336738886189,91.125,89.375,154.75
336738901824,94.6875,78,159.938
336738922942,99.6875,64.8125,161.625
336738946144,105.625,52.4375,157
336738960420,95.9375,39.4375,153.188
336738982971,82.5,26,153.5
336739014219,71.125,12.25,154.125
336739020453,63.1875,1.9375,152.438
336739042933,61.6875,-4.125,146.625
336739066084,58.9375,-10.6875,138.312
336739080445,58.25,-16.4375,129
336739103575,50.8125,-22.0625,125.062
336739126152,37.875,-27,117.562
336739140429,29.125,-32.1875,106.938
336739165058,24.5625,-33.25,93.375
336739186190,23,-30.75,78.625
336739200510,18.125,-29.3125,60.5
336739223637,8.75,-24.0625,43.875
336739246175,2.5,-20.25,25.625
336739260442,-6.875,-14.125,4.75
336739283608,-20.25,-7.625,-18.8125
336739306115,-36.1875,-2.1875,-40.3125
336739320501,-55.9375,2.625,-58.125
336739342965,-76.9375,8.875,-67.8125
336739366112,-88,15.8125,-67.625
336739382474,-91.9375,22.75,-60.4375
336739402961,-93.375,29.5,-48.5
336739426221,-85.3125,26.3125,-34.625
336739440504,-76.8125,15.0625,-16.4375
336739463036,-76.625,3.8125,0.3125
336739486139,-69.8125,-3.25,14.5625
336739500490,-56.9375,-9.5625,27.9375
336739522924,-52.875,-18.0625,39.4375
336739537973,-51.5,-29.0625,51
336739560444,-49.875,-32.375,59.3125
336739582969,-43.6875,-28.5,59.1875
336739598053,-45.5625,-24.875,53
336739620473,-48.625,-17.625,43.375
336739642990,-47.75,-12.625,37.5
336739658034,-45.375,-4.4375,29.125
336739680495,-47.625,3.8125,18.625
336739703099,-51.0625,11.3125,7.9375
336739718045,-47.9375,17.75,0.125
336739748643,-42.5,25,-5
336739762967,-38.625,27.625,-10.625
336739778025,-40.375,28.1875,-15.75
336739800473,-44.875,28.75,-16.875
336739822988,-43.9375,29,-14.375
336739838025,-42.25,28.4375,-10.8125
